model,max_depth,n_estimators,roc_auc_mean,roc_auc_std,f1_mean,f1_std
RandomForestClassifier,8,500,0.535258651,0.022686924,0.507938427,0.013442935
RandomForestClassifier,7,500,0.533552873,0.022771242,0.509173476,0.012019031
RandomForestClassifier,7,300,0.532902453,0.023405279,0.505206158,0.01416706
RandomForestClassifier,5,300,0.532880172,0.02422262,0.504456394,0.01700428
RandomForestClassifier,8,300,0.532728257,0.022949466,0.508276704,0.012502592
RandomForestClassifier,6,50,0.532604589,0.022083985,0.506744606,0.017394251
RandomForestClassifier,6,100,0.53245566,0.023197792,0.50626721,0.014686832
RandomForestClassifier,7,100,0.532427807,0.025053889,0.501617797,0.014846347
RandomForestClassifier,8,80,0.532413591,0.019176674,0.509640376,0.012803737
RandomForestClassifier,6,500,0.532369706,0.023770886,0.504282438,0.01417076
RandomForestClassifier,4,100,0.532292341,0.02347076,0.505204837,0.025692117
RandomForestClassifier,4,500,0.532084889,0.024475014,0.5016688,0.020714293
RandomForestClassifier,7,80,0.532046379,0.022000333,0.510171356,0.015722248
RandomForestClassifier,5,80,0.531930246,0.023010385,0.499482863,0.015996407
RandomForestClassifier,4,300,0.531753094,0.023076681,0.498642564,0.023119526
RandomForestClassifier,5,500,0.531700219,0.023822538,0.500316889,0.017166609
RandomForestClassifier,5,50,0.531635261,0.023056125,0.495894135,0.019259739
RandomForestClassifier,6,300,0.531552075,0.023380819,0.499193516,0.012325905
RandomForestClassifier,6,80,0.531265203,0.023508643,0.505162847,0.009688287
RandomForestClassifier,8,50,0.531152382,0.021102177,0.504737045,0.017029547
RandomForestClassifier,7,50,0.530881029,0.020280538,0.504187836,0.010848859
RandomForestClassifier,4,50,0.530677799,0.020413008,0.501412376,0.02229914
RandomForestClassifier,3,80,0.530654103,0.025094883,0.496910647,0.027523745
RandomForestClassifier,3,300,0.530445212,0.025261735,0.496378278,0.027411176
RandomForestClassifier,8,100,0.530277745,0.022143628,0.506058114,0.013741112
RandomForestClassifier,5,20,0.530031832,0.024140804,0.505631572,0.0176047
RandomForestClassifier,3,50,0.529968576,0.021859725,0.498542097,0.027277231
RandomForestClassifier,3,500,0.529905523,0.023721412,0.494736892,0.026031134
RandomForestClassifier,5,100,0.529841815,0.024354369,0.503287276,0.01392277
RandomForestClassifier,4,80,0.529729299,0.024157938,0.495749856,0.017904805
RandomForestClassifier,3,100,0.528480177,0.023097233,0.499815898,0.030827772
RandomForestClassifier,3,20,0.528318146,0.019985722,0.49193004,0.020342368
RandomForestClassifier,6,20,0.527416589,0.018885357,0.498627891,0.015943606
RandomForestClassifier,4,20,0.527049866,0.024346484,0.498461071,0.023754244
RandomForestClassifier,7,20,0.527002357,0.017624397,0.506876522,0.020575724
RandomForestClassifier,8,20,0.526751951,0.014130898,0.507721217,0.016379597
