model,max_depth,subsample,roc_auc_mean,roc_auc_std,f1_mean,f1_std
XGBClassifier,8,1,0.529030723,0.014844406,0.518673692,0.00448292
XGBClassifier,6,1,0.527693598,0.012315658,0.514843314,0.006787141
XGBClassifier,6,0.7,0.526685265,0.014589386,0.516087704,0.006227985
XGBClassifier,8,0.8,0.526507336,0.012087041,0.512130409,0.00829047
XGBClassifier,6,0.9,0.526258697,0.014690128,0.511540311,0.008179532
XGBClassifier,4,0.9,0.525943671,0.015916229,0.509054473,0.009888452
XGBClassifier,5,1,0.525943436,0.016344611,0.514632389,0.010936396
XGBClassifier,3,0.8,0.525648417,0.023685988,0.518637376,0.015183371
XGBClassifier,5,0.8,0.524747748,0.017323848,0.511765831,0.005346403
XGBClassifier,4,1,0.524418222,0.016249877,0.50654641,0.004193832
XGBClassifier,7,0.8,0.523888536,0.014207914,0.505588244,0.008747866
XGBClassifier,3,1,0.523788939,0.020541144,0.513031253,0.009176042
XGBClassifier,7,0.9,0.523636984,0.013949915,0.509572149,0.013028531
XGBClassifier,7,0.6,0.523155898,0.010706616,0.509755765,0.003008882
XGBClassifier,7,1,0.523148834,0.008324858,0.509398651,0.004240135
XGBClassifier,3,0.9,0.523131044,0.018885139,0.510947805,0.015664506
XGBClassifier,6,0.8,0.522854672,0.008112492,0.517265595,0.005368286
XGBClassifier,5,0.6,0.522652657,0.016783568,0.514026366,0.008805802
XGBClassifier,8,0.9,0.522335778,0.016133339,0.506606168,0.015352144
XGBClassifier,3,0.6,0.522257434,0.018183534,0.510221914,0.005792014
XGBClassifier,4,0.8,0.521822939,0.011305373,0.504284498,0.009723638
XGBClassifier,6,0.6,0.521598032,0.009090173,0.511465396,0.0129667
XGBClassifier,4,0.7,0.52148835,0.018442779,0.510082041,0.007701896
XGBClassifier,5,0.9,0.521424321,0.011251392,0.514643997,0.011458262
XGBClassifier,4,0.6,0.521308296,0.017549588,0.511451165,0.009688712
XGBClassifier,3,0.7,0.520853423,0.016541886,0.510411023,0.006840737
XGBClassifier,8,0.7,0.520836186,0.007995252,0.508382998,0.011001715
XGBClassifier,7,0.7,0.520740926,0.015953718,0.504862441,0.012443114
XGBClassifier,5,0.7,0.519992223,0.017261433,0.509983322,0.005155206
XGBClassifier,8,0.6,0.51358742,0.01730979,0.505343211,0.011111327
